1.0.0.0/24,73
1.0.4.0/22,73
1.0.8.0/21,9
1.0.16.0/20,73
1.0.32.0/19,9
1.0.64.0/18,73
1.0.128.0/17,73
1.1.0.0/24,8
1.1.1.0/24,73
1.1.2.0/23,8
1.1.4.0/22,8
1.1.8.0/21,9
1.1.16.0/20,9
1.1.32.0/19,9
1.1.64.0/18,73
1.1.128.0/17,73
1.2.0.0/23,8
1.2.3.0/24,73
1.2.4.0/24,62
1.2.5.0/24,8
1.2.6.0/23,8
1.2.8.0/21,9
1.2.16.0/20,9
1.2.32.0/19,9
1.2.64.0/18,9
1.2.128.0/17,73
1.3.0.0/16,9
1.4.0.0/24,73
1.4.1.0/24,8
1.4.2.0/23,8
1.4.5.0/24,8
1.4.6.0/23,8
1.4.8.0/21,9
1.4.16.0/20,9
1.4.32.0/19,9
1.4.64.0/18,9
1.4.128.0/17,73
1.5.0.0/16,73
1.6.0.0/15,73
1.9.0.0/16,73
1.10.0.0/21,9
1.10.8.0/23,8
1.10.10.0/24,73
1.10.11.0/24,8
1.10.12.0/22,8
1.10.16.0/20,9
1.10.32.0/19,9
1.10.64.0/18,9
1.10.128.0/17,73
1.11.0.0/16,73
1.16.0.0/14,73
1.20.0.0/16,73
1.21.0.0/16,73
1.22.0.0/15,73
1.24.0.0/13,10
1.32.0.0/16,71
1.33.0.0/16,73
1.34.0.0/15,72
1.36.0.0/16,71
1.37.0.0/16,73
1.38.0.0/15,73
1.40.0.0/14,73
1.44.0.0/16,73
1.45.0.0/16,62
1.46.0.0/15,73
1.48.0.0/15,11
1.50.0.0/16,12
1.51.0.0/24,7
1.51.16.0/20,7
1.51.32.0/19,7
1.51.64.0/18,7
1.51.128.0/24,7
1.51.143.0/24,7
1.51.144.0/20,7
1.51.160.0/19,7
1.51.192.0/18,7
1.52.0.0/14,73
1.56.0.0/13,13
1.64.0.0/15,71
1.66.0.0/15,73
1.68.0.0/14,14
1.72.0.0/13,73
1.80.0.0/13,15
1.96.0.0/12,73
1.112.0.0/14,73
1.120.0.0/13,73
1.128.0.0/11,73
1.160.0.0/12,72
1.176.0.0/15,73
1.178.0.0/16,73
1.179.0.0/17,73
1.179.128.0/17,73
1.180.0.0/14,16
1.184.0.0/15,7
1.186.0.0/16,73
1.187.0.0/16,73
1.188.0.0/14,13
1.192.0.0/13,17
1.200.0.0/16,72
1.201.0.0/16,73
1.202.0.0/15,18
1.204.0.0/14,11
1.208.0.0/12,73
1.224.0.0/11,73
2.0.0.0/12,73
2.16.0.0/13,73
2.24.0.0/13,73
2.32.0.0/12,73
2.48.0.0/14,73
2.52.0.0/14,73
2.56.0.0/16,73
2.57.0.0/16,73
2.58.0.0/15,73
2.60.0.0/14,73
2.64.0.0/13,73
2.72.0.0/13,73
2.80.0.0/14,73
2.84.0.0/14,73
2.88.0.0/14,73
2.92.0.0/14,73
2.96.0.0/13,73
2.104.0.0/13,73
2.112.0.0/13,73
2.120.0.0/13,73
2.128.0.0/14,73
2.132.0.0/14,73
2.136.0.0/13,73
2.144.0.0/14,73
2.148.0.0/14,73
2.152.0.0/14,73
2.156.0.0/14,73
2.160.0.0/12,73
2.176.0.0/12,73
2.192.0.0/13,73
2.200.0.0/13,73
2.208.0.0/13,73
2.216.0.0/13,73
2.224.0.0/12,73
2.240.0.0/13,73
2.248.0.0/13,73
5.0.0.0/16,73
5.1.0.0/19,73
5.1.32.0/21,73
5.1.40.0/21,73
5.1.48.0/21,73
5.1.56.0/21,73
5.1.64.0/19,73
5.1.96.0/21,73
5.1.104.0/21,73
5.1.112.0/21,73
5.1.120.0/21,73
5.1.128.0/17,73
5.2.0.0/20,73
5.2.16.0/21,73
5.2.24.0/21,73
5.2.32.0/19,73
5.2.64.0/20,73
5.2.80.0/21,73
5.2.88.0/21,73
5.2.96.0/19,73
5.2.128.0/17,73
5.3.0.0/16,73
5.4.0.0/14,73
